budget,sample_id,uncertainty,normalized_uncertainty,rank,in_shortlist,selected
429,1149,0.6320929870596242,0.07118773094097029,3536,False,False
429,1150,2.2635188759967253,0.25492257630294324,1070,False,False
429,1151,2.0260081430222137,0.22817358446040714,1377,False,False
429,1153,0.44440959431266486,0.050050405992768165,3732,False,False
429,1154,2.5362940059184274,0.28564312368092365,834,True,False
429,1156,0.7876961374387996,0.08871210698932408,3325,False,False
429,1157,1.371451613837619,0.15445595898570313,2311,False,False
429,1158,0.2900944870084349,0.03267109224653884,3900,False,False
429,1159,0.965374335256081,0.10872262442779711,3030,False,False
429,1160,2.0466288992996367,0.23049594031584086,1348,False,False
429,1161,1.4227533277096993,0.1602336731491286,2225,False,False
429,1162,3.0733120596092043,0.3461233022293632,479,True,False
429,1163,2.587672066801309,0.2914294362160671,792,True,False
429,1164,0.8927034775898346,0.1005382693270399,3155,False,False
429,1165,1.0152893007517758,0.11434415987650501,2949,False,False
429,1166,4.574287512566901,0.5151665266941752,96,True,False
429,1167,4.077145252573366,0.45917724953349154,162,True,False
429,1168,0.7175212639722763,0.08080885523139836,3422,False,False
429,1169,0.2761552811955464,0.031101227601220263,3910,False,False
429,1171,0.43647758334173475,0.049157085113753045,3742,False,False
429,1172,1.9063064325364996,0.2146925091539552,1531,False,False
429,1173,3.08728472115059,0.3476969347339168,475,True,False
429,1174,2.7231772124404614,0.3066903298604496,691,True,False
429,1175,2.1901119507324123,0.2466553236171815,1170,False,False
429,1176,3.6428554395840513,0.41026655602729806,258,True,False
429,1177,2.22326751111395,0.25038937724529964,1129,False,False
429,1178,1.8138565467695356,0.20428059551429117,1628,False,False
429,1179,2.055911343549991,0.23154135002184423,1335,False,False
429,1181,1.6797403726269138,0.1891761309574068,1818,False,False
429,1182,0.8801518281996035,0.09912467440042369,3178,False,False
429,1183,0.5694691342961644,0.06413489208295652,3596,False,False
429,1184,1.342084894952034,0.15114861319094758,2355,False,False
429,1186,2.8594069971222686,0.32203283398027466,591,True,False
429,1187,2.504824019115659,0.2820989031325314,854,True,False
429,1188,0.8866613391431027,0.09985779013353563,3163,False,False
429,1190,0.9555445778098102,0.10761557508122033,3046,False,False
429,1192,2.3257835153814237,0.2619349597439833,1019,False,False
429,1193,1.0439673761287056,0.11757394909364936,2891,False,False
429,1194,1.4137926817838713,0.1592245050927126,2238,False,False
429,1195,0.5913865017629606,0.06660327520079276,3578,False,False
429,1196,0.844496098017191,0.09510904603767778,3233,False,False
429,1197,0.8986144341113016,0.10120397451768184,3140,False,False
429,1198,2.1892744731921714,0.24656100501687384,1171,False,False
429,1199,2.2437988956947876,0.25270166785966836,1094,False,False
429,1201,0.970537538384865,0.10930411595301598,3022,False,False
429,1202,2.0101152583813073,0.22638369212042772,1393,False,False
429,1204,0.7043984648402413,0.07933093613890953,3445,False,False
429,1205,0.17795745365929358,0.020041967858192664,3975,False,False
429,1206,1.2738863224046504,0.1434679368783603,2465,False,False
429,1207,0.7652058033713025,0.08617919508688827,3356,False,False
